timestamp,open,high,low,close
2021-01-29,1.3723,1.3751,1.3655,1.3699
2021-01-28,1.3685,1.3746,1.3628,1.372
2021-01-27,1.3733,1.3759,1.3658,1.3684
2021-01-26,1.3674,1.3744,1.3608,1.3736
2021-01-25,1.3681,1.3724,1.3646,1.3675
2021-01-22,1.373,1.3736,1.3634,1.3682
2021-01-21,1.3652,1.3746,1.3646,1.373
2021-01-20,1.3629,1.3719,1.3622,1.3652
2021-01-19,1.3585,1.3637,1.357,1.3627
2021-01-18,1.3595,1.3601,1.3518,1.3585
2021-01-15,1.3684,1.3698,1.357,1.358
2021-01-14,1.3637,1.3711,1.3615,1.3686
2021-01-13,1.3662,1.3701,1.361,1.3637
2021-01-12,1.3515,1.367,1.3503,1.366
2021-01-11,1.3565,1.3572,1.345,1.3513
2021-01-08,1.3563,1.3636,1.3537,1.3547
2021-01-07,1.3607,1.3633,1.3531,1.3561
2021-01-06,1.3626,1.3672,1.3537,1.3605
2021-01-05,1.357,1.3642,1.3552,1.3625
2021-01-04,1.3656,1.3704,1.3539,1.3566
2021-01-01,1.3663,1.3674,1.3663,1.3671
2020-12-31,1.3624,1.3686,1.3601,1.367
2020-12-30,1.3498,1.3625,1.349,1.3622
2020-12-29,1.3447,1.3522,1.3439,1.3501
2020-12-28,1.3545,1.3576,1.3426,1.3451
2020-12-25,1.3551,1.3587,1.3538,1.3548
2020-12-24,1.3491,1.3619,1.3487,1.3553
2020-12-23,1.3359,1.3571,1.3349,1.3492
2020-12-22,1.3462,1.347,1.3302,1.3359
2020-12-21,1.34,1.35,1.3187,1.3461
2020-12-18,1.3586,1.359,1.347,1.3515
2020-12-17,1.3508,1.3624,1.3493,1.3582
2020-12-16,1.346,1.3554,1.3432,1.3508
2020-12-15,1.3325,1.3469,1.3278,1.3458
2020-12-14,1.3363,1.3445,1.3288,1.3324
2020-12-11,1.3293,1.3324,1.3132,1.323
2020-12-10,1.34,1.3413,1.3244,1.3293
2020-12-09,1.3354,1.3433,1.3346,1.3425
2020-12-08,1.3378,1.3394,1.3288,1.3354
2020-12-07,1.3409,1.3438,1.3223,1.338
2020-12-04,1.3447,1.3539,1.341,1.3437
2020-12-03,1.3364,1.35,1.3351,1.3448
2020-12-02,1.3417,1.3441,1.3286,1.3364
2020-12-01,1.3322,1.3442,1.3314,1.3416
2020-11-30,1.3329,1.3386,1.3303,1.3321
2020-11-27,1.3355,1.3382,1.3285,1.3308
2020-11-26,1.3383,1.3398,1.332,1.3354
2020-11-25,1.3358,1.3394,1.3302,1.3381
2020-11-24,1.3324,1.338,1.3291,1.3358
2020-11-23,1.3292,1.3398,1.3262,1.3324
2020-11-20,1.326,1.3298,1.3243,1.3275
2020-11-19,1.3267,1.3279,1.3195,1.326
2020-11-18,1.3243,1.3312,1.324,1.3269
2020-11-17,1.3198,1.3273,1.3185,1.3245
2020-11-16,1.3184,1.3242,1.3164,1.3196
2020-11-13,1.3115,1.32,1.3108,1.3198
2020-11-12,1.3217,1.3228,1.3104,1.3114
2020-11-11,1.3268,1.328,1.3252,1.3263
2020-11-10,1.3163,1.3278,1.3154,1.327
2020-11-09,1.316,1.3208,1.3117,1.3162
2020-11-06,1.3144,1.3177,1.3092,1.3148
2020-11-05,1.2984,1.3155,1.293,1.3146
2020-11-04,1.3057,1.314,1.2913,1.2931
2020-11-03,1.2916,1.3079,1.2907,1.3057
2020-11-02,1.292,1.2943,1.2853,1.2914
2020-10-30,1.2925,1.2988,1.2897,1.295
2020-10-29,1.2983,1.3025,1.2879,1.2925
2020-10-28,1.3041,1.3064,1.2915,1.2984
2020-10-27,1.3016,1.3079,1.2999,1.304
2020-10-26,1.3046,1.3075,1.2991,1.3015
2020-10-23,1.3081,1.3123,1.3017,1.304
2020-10-22,1.3141,1.3152,1.3069,1.308
2020-10-21,1.2943,1.3177,1.2939,1.3141
2020-10-20,1.2939,1.298,1.2909,1.2941
2020-10-19,1.2906,1.3025,1.2899,1.294
2020-10-16,1.2905,1.2962,1.2862,1.2913
2020-10-15,1.301,1.303,1.2889,1.2905
2020-10-14,1.2936,1.3064,1.2862,1.3011
2020-10-13,1.3061,1.3068,1.292,1.2933
2020-10-12,1.3027,1.3083,1.3003,1.3062
2020-10-09,1.2927,1.3049,1.292,1.3046
2020-10-08,1.2908,1.297,1.2889,1.2928
2020-10-07,1.2875,1.293,1.2844,1.2908
2020-10-06,1.2976,1.3007,1.2864,1.2873
2020-10-05,1.2914,1.2991,1.2898,1.2974
2020-10-02,1.288,1.2954,1.2835,1.2937
2020-10-01,1.2917,1.2979,1.2818,1.2882
2020-09-30,1.2857,1.2943,1.2804,1.2919
2020-09-29,1.2835,1.2903,1.2822,1.2859
2020-09-28,1.2758,1.293,1.275,1.2835
2020-09-25,1.2748,1.2806,1.2686,1.2745
2020-09-24,1.2724,1.2781,1.2689,1.2746
2020-09-23,1.2733,1.2777,1.2674,1.2721
2020-09-22,1.2812,1.2867,1.271,1.2733
2020-09-21,1.2929,1.2967,1.2773,1.2811
2020-09-18,1.2967,1.3,1.2913,1.2914
2020-09-17,1.2966,1.2999,1.2863,1.2971
2020-09-16,1.289,1.3007,1.2873,1.2967
2020-09-15,1.2847,1.2926,1.2813,1.289
2020-09-14,1.2796,1.2919,1.2788,1.2847
